Group,NEWID,AGE_REF,EDUC_REF,SEX_REF,RACE_REF,OCCU_REF,MARITAL,FAM_Size,FAM_Income,REASON_NOT_WORKING,URBAN/RURAL AREA,US DIVISION/STATE,BUILDING TYPE,NO. OF VEH OWNED,TOTAL_TIME,VISITWKDAY,ENTERTAINMENT_EXP,ELCTRC_EXP,FOOD_EXP,WATER_EXP,NAT_GAS_EXP,TRANS_EXP,HEALTH_EXP,TELEPH_EXP,EHOUS_EXP
4,4223554,52,15,1,1,11,3,2,306850,0,1,9,1,5,3959,4,90,660,3271,0,1170,781,1150,300,16085
5,4223704,72,12,2,1,0,1,2,25574,1,1,3,1,5,8057,6,324,247,1870,0,0,1102,1904,396,3826
6,4223824,70,13,1,1,0,3,2,37498,1,2,,1,5,4745,6,488,345,1205,0,345,1251,5784,178,2133
2,4223904,36,12,1,1,0,5,1,2328,4,1,9,2,0,4836,6,45,215,0,20,125,0,0,240,2340
1,4224034,63,15,2,4,4,1,4,153000,0,1,9,1,3,5450,4,396,300,3135,380,180,3110,2455,612,2859
3,4224114,27,15,2,1,4,5,2,80000,0,1,3,8,2,3757,6,110,150,2210,0,0,2172,2298,493,3694
1,4224194,65,11,2,1,0,3,4,43295,1,1,1,1,1,3458,5,195,570,980,474,445,675,890,243,4510
3,4224214,37,16,1,2,3,5,1,134000,0,1,5,1,1,2378,2,0,489,910,0,261,1667,455,1140,12575
6,4224364,42,12,1,1,0,5,5,55000,5,1,9,8,1,1964,4,0,165,1365,0,120,1956,0,381,4461
6,4224424,23,15,2,1,4,5,1,30000,0,1,6,5,0,3291,3,320,151,1235,0,0,352,894,384,3238
4,4224464,70,12,1,2,0,2,2,13159,1,1,7,1,1,1740,5,0,960,819,165,0,300,1110,240,3230
4,4224484,87,15,2,1,0,2,2,25300,1,1,1,1,2,2937,6,338,701,1400,142,0,550,1384,135,5738
2,4225054,46,15,1,1,3,1,4,169200,0,2,,1,6,5265,5,2645,211,1495,48,325,814,2637,372,7273
5,4225574,55,16,2,1,2,1,4,186050,0,1,9,1,5,4069,7,1626,816,2888.3333,280,847,3441.3333,1704,718,6503
3,4225604,48,16,2,1,6,5,2,80000,0,1,1,1,1,1538,6,258,360,1040,100,0,915,308,436,3781.667
1,4225744,44,12,2,1,4,1,2,94768,0,1,5,9,4,3726,2,196,355,1800,51,0,423.6667,1387.3333,304,2027.667
5,4225874,43,15,1,1,0,5,2,41289,5,1,2,1,3,3092,6,7291,120,1213.3333,100,303,120,290,142,4218
4,4226004,70,11,1,2,0,2,1,24595,1,1,1,8,1,3059,6,110,0,234,0,0,388,290,56,1612
4,4226024,36,13,1,1,12,1,4,54800,0,1,7,1,3,4358,5,750,245,2253.3333,240,0,1320,1030,400,4974
1,4226054,61,15,2,1,4,1,2,49206,0,1,5,1,2,4434,6,332,179,996.6667,0,0,120,1596.6667,120,2231.667
2,4226454,45,15,1,1,3,5,1,59316,0,1,2,9,1,4243,4,0,120,1256.6667,0,200,113,3910.3333,80,2348
1,4228484,32,14,2,2,3,5,4,50331,0,1,6,2,1,3946,7,44,180,3120,0,100,257,119,266,3331
3,4228594,76,12,1,1,0,1,3,105535,1,1,9,8,0,2952,7,320,200,1560,0,180,300,772,400,4108
4,4228864,58,16,2,1,1,5,2,124010,0,1,4,1,3,5283,1,102,198,1022.6667,173,123,369.3333,1028,426,3257.333
3,4229044,74,16,1,1,3,5,1,111539,0,1,2,1,6,4929,5,3531,141,693.3333,0,207,1467,636.6667,0,1436.333
3,4229104,60,15,2,1,4,1,2,58000,0,1,9,1,1,4460,2,258,145,1690,347,150,648,1623.6667,214,3440.333
6,4229154,68,13,2,1,0,3,2,46682,1,2,,1,3,4090,5,440,670,934.6667,38,0,725,590,302,3448
3,4229164,51,16,2,1,3,5,1,104306,0,1,9,1,2,3386,6,144,104,312,268,146,357.6667,1312,400,3804.667
4,4229374,25,10,2,1,9,1,5,102168,0,1,2,8,3,5146,6,405,325,1733.3333,0,95,4325.6667,0,131,6772
4,4229524,63,12,2,1,11,1,2,26659,0,1,3,1,2,2822,7,306,170,1126.6667,0,160,616,1313.3333,280,1226.333
3,4229674,52,15,2,1,2,1,2,152000,0,1,3,1,3,3580,6,988,111,4890,0,256,648.3333,1855.3333,319,5911
3,4229844,34,16,2,4,0,1,4,130000,2,1,5,1,1,11464,6,26,626,2036.6667,356,131,130,1880,100,8060.667
5,4230054,45,14,1,1,10,1,4,200000,0,1,2,1,2,5290,6,40,230,1603.3333,100,208,360,368.6667,340,2348
2,4230154,48,12,1,1,12,3,1,7500,0,1,9,1,3,4240,6,0,220,1794,0,175,924,1244,200,2679.667
1,4230214,87,12,2,1,0,2,1,14498,1,1,2,1,1,0,2,0,153,303.3333,194,0,40,1097.3333,138,1740.333
5,4230224,26,13,2,1,0,1,8,34000,2,1,9,1,3,2211,4,0,237,1300,347,121,880,578,0,5138.333
3,4230234,44,15,1,1,3,1,5,428650,0,1,3,1,4,3019,6,690,250,1473.3333,45,200,1333.3333,560,640,6388.333
5,4230254,38,13,1,2,11,1,3,30900,0,1,3,8,2,3994,6,120,100,910,0,0,678.3333,325.3333,260,2095
4,4230444,73,16,1,1,3,1,3,303650,0,1,2,1,2,2131,2,171,443,2166.6667,75,527,157,1630,43,4387.667
4,4230514,51,11,2,1,9,1,3,38000,0,2,,1,1,1849,6,0,96,1736.6667,170,62,730,563.3333,120,2333.333
4,4230554,58,13,2,1,6,1,2,392305,0,1,5,1,9,11148,7,371,400,1993.3333,200,0,160,3800,861,6280.667
1,4230564,81,13,2,1,0,2,1,50083,1,1,3,8,1,2290,6,145,0,0,0,0,0,3048,142,5783
1,4230584,25,12,1,1,7,5,3,112000,0,1,5,8,3,2883,6,223,240,3553.3333,0,0,727,460.6667,500,3934
5,4230704,57,15,2,1,0,1,2,156000,2,1,7,1,2,2999,2,1166,255,3040,150,76,1917,996.6667,242,12192
3,4230794,62,14,1,1,7,1,2,141520,0,1,9,8,1,2031,2,193,56,2773.3333,0,56,303,1163.3333,170,3839
2,4230934,29,13,1,1,8,1,3,136000,0,1,3,1,3,4267,6,84,120,693.3333,134,105,1188,959.3333,140,4209.333
3,4231214,64,11,1,1,7,2,3,107327,0,1,3,1,4,13236,6,911,308,1950,220,142,2674,2262,753,16805.667
1,4231234,37,15,1,1,3,1,4,109000,0,1,3,1,2,2899,6,150,224,866.6667,0,0,592.3333,568,200,4712
4,4231244,50,12,1,1,12,5,1,0,0,1,2,8,0,1151,6,0,103,693.3333,0,0,38,0,326,1377
1,4231264,46,15,1,1,10,1,2,198000,0,1,2,1,1,8736,6,955,173,1707.3333,0,222,1262,813.3333,220,7690.667
3,4231274,58,10,1,1,0,1,2,10331,5,1,8,1,2,2121,7,0,100,1628.3333,200,54,250,630,210,3980.667
4,4231614,55,12,2,1,10,3,3,142500,0,1,2,1,3,3948,7,219,260,1083.3333,302,212,143,785.6667,379,3725.333
6,4231674,57,14,2,2,6,1,2,179135,0,1,1,11,2,2599,4,241,280,1256.6667,94,378,928.3333,150,138,3419.333
5,4231794,36,16,1,4,3,1,2,625101,0,1,2,2,0,13372,6,689,125,3190,197,37,3571.6667,848.6667,450,21535.667
1,4231844,72,12,2,1,0,5,1,11616,1,1,,1,1,1735,5,0,103,216.6667,83,200,337,310,94,1458.667
5,4231874,59,14,2,2,12,2,1,70000,0,1,6,1,6,1601,6,182,216,866.6667,260,64,210,315.3333,110,1044
3,4232244,40,15,2,1,1,5,2,105000,0,1,5,1,0,13264,1,300,250,892.6667,293,0,717.3333,620.6667,106,2690
5,4232304,76,13,1,1,0,3,1,23539,1,1,3,9,1,4040,2,892,180,2548,74,50,213,958,147,471
6,4232334,77,11,2,1,0,2,1,26995,1,1,7,1,1,1730,5,342,580,476.6667,300,150,540,590,124,5024
3,4232474,70,15,2,1,0,1,2,46554,1,1,8,1,3,3780,2,1052,229,1560,126,232,136.3333,3605,258,1744.333
5,4232484,35,13,2,1,0,1,6,106000,2,1,9,1,2,5820,2,15,120,846.6667,0,80,2518,1579.3333,220,4600
2,4232494,38,15,2,1,3,1,4,90000,0,1,7,1,1,8432,6,345,158,1460,134,250,923.3333,785,0,2884.667
3,4232734,59,12,1,1,10,5,1,0,0,1,7,1,1,1309,5,266,300,476.6667,150,0,850,500,130,1031.667
4,4232774,39,14,2,2,1,4,3,33000,0,1,6,8,1,3799,6,368,400,1126.6667,0,0,530,238.6667,568,3325
6,4232794,80,10,2,1,0,4,3,2935,1,1,4,9,1,3190,3,0,300,650,0,284,163,638,103,1373
3,4232814,72,12,2,5,0,1,2,96000,1,1,9,5,1,9313,1,427,276,1256.6667,1183,0,406,922.6667,350,3546
3,4232854,41,13,2,2,10,5,2,70836,0,1,5,9,2,3317,2,210,402,1018,201,0,184,1280,346,3648.667
4,4232944,65,15,1,1,1,1,2,123740,0,1,3,1,2,3171,6,188,148,1126.6667,270,128,269,1573.3333,172,3016.667
6,4233084,75,12,1,1,0,1,2,68706,1,1,5,1,2,4920,2,148,272,1820,128,194,772,1636,296,2132.667
2,4233184,23,13,2,1,5,5,4,0,0,1,3,1,2,2203,7,79,284,1357.3333,0,0,478,732,250,1334
1,4233214,87,12,2,1,0,2,1,51372,1,1,8,1,1,6687,6,482,216,693.3333,88,280,644,1562,110,3816
1,4233314,69,15,1,1,11,5,1,9668,0,1,2,1,1,4220,3,310,61,476.6667,120,0,325,340,85,976
3,4233404,47,16,2,1,2,1,2,168000,0,1,3,1,3,6677,6,358,450,1993.3333,40,0,2192.3333,926.6667,520,4620
2,4233474,35,13,1,1,10,1,4,125440,0,1,3,1,1,4040,6,374,392,1386.6667,351,272,1774,606,200,5412.667
4,4233684,77,14,1,1,2,1,2,31165,0,1,5,1,2,6293,6,766,412,1506.6667,98,0,407,706,95,3105
4,4233904,39,12,1,1,10,3,2,70000,0,1,2,7,1,5367,4,100,198,3466.6667,0,36,1520,0,560,3380
4,4233994,49,15,1,1,3,1,3,309392,0,1,2,1,2,4785,6,831,157,2273.3333,300,304,1381,846,290,8214.333
1,4234184,87,11,2,1,0,2,1,33027,1,1,9,1,1,5475,6,176,208,1369.3333,84,0,339,580,158,1788.333
3,4234404,51,16,2,1,1,1,7,209000,0,1,8,1,3,6881,6,537,670,1933.3333,338,425,821,1179,508,7240.333
6,4234494,33,15,1,4,8,1,4,95000,0,1,4,1,3,4692,6,250,255,433.3333,78,116,1209,1501.3333,236,3086.333
6,4234534,64,12,2,2,0,5,2,28183,1,1,5,1,1,2332,3,163,193,650,110,0,921,280,111,2742
6,4234614,74,13,2,1,0,1,2,207610,1,1,1,1,2,5039,4,393,464,1083.3333,0,0,160,1552,455,6265
6,4234704,68,12,1,1,12,1,2,31900,0,1,7,1,3,6006,6,352,286,953.3333,144,0,1097,580,200,1104.667
4,4234754,64,14,2,1,2,2,1,20635,0,2,,1,1,5336,7,176,165,780,83,0,248,432,134,1145.667
5,4234794,50,13,2,1,5,1,3,0,0,1,7,1,3,2135,2,150,400,1600,300,100,2400,600,360,5862.667
3,4234804,45,13,2,1,0,5,1,0,4,1,6,1,1,4291,6,0,0,0,0,0,160,0,0,0
4,4235044,54,15,1,1,3,1,2,175000,0,1,5,1,0,3323,4,0,150,780,0,0,120,0,680,1296
1,4235394,80,14,1,1,0,1,2,44896,1,2,,1,5,2734,6,1739,343,2343.3333,148,0,1381.6667,1804,552,5817
5,4235664,43,11,1,1,11,5,1,0,0,1,5,1,1,5541,3,170,0,563.3333,0,0,200,0,160,240
6,4235794,78,15,2,1,0,2,1,4766,1,1,6,1,5,1760,6,0,385,962,88,0,0,578,256,1876.333
1,4235844,58,16,2,1,3,1,4,495650,0,1,8,1,3,5504,7,622,142,4913.3333,299,111,1045.6667,1374,520,7625.333
5,4235904,87,13,1,1,0,2,1,1735,1,1,7,1,1,2636,6,136,362,714,100,108,20,290,46,1215.333
2,4236024,46,16,1,1,1,1,4,309650,0,1,1,1,4,3330,7,180,430,2730,13,0,1260,950,300,4618.667
3,4236054,44,15,2,1,2,1,4,117000,0,2,,1,3,7306,6,624,80,715,30,0,2131,350,313,3241.333
6,4236094,40,13,2,1,6,1,3,3000,0,1,9,8,1,3183,6,70,0,975,0,10,485,228,100,2017.333
2,4236464,41,14,1,1,1,5,1,50005,0,1,5,7,0,4381,2,0,0,585,0,0,31.6667,221,135,2023.667
5,4236834,45,15,1,1,3,1,2,303680,0,1,2,1,2,3408,2,97,80,650,93,0,60,364,60,1024.333
4,4236924,59,16,2,1,0,1,5,95935,3,1,5,1,1,2255,2,104,222,1018.3333,78,0,511,405,46,1741
3,4237014,43,14,1,2,7,1,4,202180,0,1,5,9,4,3264,3,142,248,1191.6667,0,0,1502,508.6667,386,1513.833
5,4237234,56,13,2,4,0,5,1,14239,1,1,9,8,1,3906,2,90,56,342,0,0,153.3333,145,287,636
6,4237304,61,14,2,2,3,3,1,47001,0,1,5,8,1,4556,2,112,30,173.3333,0,38,537,190.6667,204,1506.667
1,4237334,67,14,2,1,0,3,1,19639,1,1,8,3,1,2446,4,0,64,307.6667,56,0,42,165,35,683.333
6,4237604,30,15,2,2,15,5,1,87852,0,1,9,5,1,7215,2,192,0,130,0,0,638,0,127,1395
3,4237614,64,14,2,1,11,1,2,39535,0,1,9,4,1,6680,2,205,133,693.3333,248,0,380,145,110,1566.667
3,4237834,87,11,2,1,0,2,2,11535,1,1,9,1,2,3764,2,43,300,273,0,0,100,4512.6667,29,860
3,4237904,73,12,1,1,0,1,2,10000,1,1,9,2,3,4908,2,88,65,606.6667,217,80,906,400,106,1457
1,4238004,87,13,1,1,0,2,1,21935,1,1,3,1,2,3038,3,89,70,355.3333,39,75,21.3333,145,65,680
3,4238184,61,12,1,1,7,1,2,124000,0,1,3,2,1,2317,3,110,40,346.6667,44,58,99,476,0,664.667
1,4238334,31,13,2,2,5,5,1,7594,0,1,6,1,1,3274,5,31,0,303.3333,0,0,104,39,0,67
4,4238374,62,12,1,1,0,1,2,35184,1,1,7,1,2,4404,2,164,225,411.6667,98,34,143,435,69,570.667
6,4238384,27,15,2,1,2,1,1,38000,0,1,5,1,0,1882,3,17,140,585,18,0,160,203.3333,88,1392.667
6,4238464,32,12,2,1,0,1,3,35724,2,1,5,1,2,4314,2,429,190,390,20,0,837,636.6667,220,1044.333
2,4238484,62,10,2,1,10,1,3,69000,0,1,8,1,2,4775,3,62,117,433.3333,20,0,585,0,59,760.667
2,4238614,43,13,2,1,10,1,6,143700,0,1,9,1,3,3412,2,111,78,1040,79,39,332,260,301,4491.667
2,4238684,77,11,2,1,0,2,1,14803,1,1,3,1,1,5646,6,0,90,290.3333,15,0,25,454,0,230
1,4238944,64,14,1,2,0,1,3,45737,1,1,5,1,4,3876,4,153,137,1181.6667,121,110,187.6667,401,247,981.333
3,4239034,31,16,1,1,4,3,2,134000,0,1,5,1,2,2589,2,71,110,658.3333,110,110,465,61,101,3011
5,4239074,42,14,1,1,11,1,2,123000,0,1,5,1,1,2533,4,21,110,866.6667,65,0,250,162.6667,250,3586.667
4,4239394,36,11,2,2,3,5,2,16343,0,1,1,1,1,5975,2,121,1000,755,120,0,719.6667,145,392,3987.667
3,4239404,51,16,2,2,2,1,4,150160,0,1,2,1,2,5401,3,12,149,2760,100,191,120,297.3333,182,1274
3,4239494,37,15,1,1,3,5,1,95568,0,1,7,8,1,4691,2,255,90,710.6667,70,0,55,133,37,1033
1,4239614,62,13,2,1,0,3,1,19298,1,1,9,1,1,3391,2,0,34,281.6667,0,6,210,160,44,130.667
4,4239634,55,16,1,1,3,5,1,89200,0,1,9,1,0,5727,4,201,152,1300,328,90,10,215,56,5409
4,4239834,34,14,1,1,15,1,4,173400,0,1,5,1,2,4339,4,433,250,498.3333,53,0,1233.3333,211,130,2823.333
3,4239874,28,13,1,1,10,5,1,90000,0,1,9,8,1,4151,2,73,81,780,0,46,40,0,0,1433
2,4239914,72,13,2,1,0,2,1,18535,1,1,3,1,0,2067,4,0,0,238.3333,0,0,200,200,0,95
3,4240104,76,15,2,1,0,1,2,34870,1,1,3,1,2,3697,2,98,71,476.6667,0,61,50,631,50,4649.333
4,4240134,52,13,2,1,1,3,2,160000,0,1,8,1,4,4613,4,217,8,650,41,32,893,923.3333,160,1894.333
1,4240144,65,12,1,1,10,1,2,61000,0,1,5,1,4,2596,4,95,193,1018.3333,28,0,1310,916,97,1678
4,4240174,49,12,1,1,10,1,3,86000,0,1,5,1,4,6380,3,0,199,1733.3333,120,0,56902.6667,400,226,3188
2,4240314,52,14,1,1,0,1,4,12000,4,1,8,8,1,2104,2,4,71,650,0,79,91,1874,29,1551.667
1,4240464,64,11,2,1,9,3,1,9000,0,1,9,8,1,5281,2,59,158,368.3333,0,0,537,0,0,1239
2,4240474,75,13,2,1,4,2,1,65600,0,1,9,1,0,6376,4,0,84,563.3333,140,0,577,130,0,419
4,4240534,71,16,2,1,0,3,4,20935,1,1,3,1,5,3983,2,365,120,216.6667,200,150,6333,327,0,1215
4,4240814,60,13,2,1,3,5,1,20600,0,1,5,8,0,4360,3,131,100,130,50,0,0,0,85,1504
6,4240914,66,14,1,1,0,3,1,25135,1,2,,1,2,3699,3,0,98,455,0,300,40,307,31,809.333
2,4241524,21,13,1,1,10,5,1,0,0,1,7,8,0,994,2,40,200,86.6667,0,0,0,0,93,1086
1,4241654,27,15,1,1,4,5,1,44500,0,1,4,1,1,2494,2,394,64,293,20,36,325,80,50,2352
4,4241944,59,0,1,1,0,1,3,25605,4,2,,9,1,1954,7,0,100,368.3333,90,70,80,0,30,300
1,4242164,36,16,2,1,10,3,3,64000,0,1,1,1,1,3060,3,0,250,866.6667,0,0,115,599.6667,150,1915
1,4242494,76,12,1,1,0,1,2,29870,1,1,3,1,2,3382,2,0,130,368.3333,125,80,40,631,116,1276
5,4242514,32,13,2,1,4,3,4,25000,0,1,7,1,2,3327,5,0,70,780,60,40,641,52,50,1027
3,4242814,58,14,2,1,0,5,3,33235,4,1,2,1,2,2138,2,317,238,1256.6667,109,0,256,1910.3333,47,1795.667
4,4242854,48,13,2,2,1,5,1,40000,0,1,5,1,2,3466,2,82,55,216.6667,54,215,474,136.6667,139,560.667
4,4242904,60,15,1,1,1,3,2,150000,0,1,9,4,2,1803,2,121,159,693.3333,175,0,88,10,200,1813.333
4,4243184,63,15,1,5,10,1,2,359150,0,1,9,1,6,12206,2,1010.3333,425,1474,412,0,476,2016.6667,124,14514.5
2,4243364,40,12,1,2,5,5,2,45111,0,1,9,7,1,10638,4,109,160,1040,0,0,558,61.6667,197,6223
6,4243544,51,15,2,1,1,1,2,123000,0,2,6,1,2,3546,2,206,118,736.6667,77,59,587,528.3333,200,1410
6,4243634,63,16,2,1,2,1,1,190450,0,1,8,9,1,7577,3,15,47,130,73,84,409,-2951,81,6100
1,4243944,50,15,2,1,2,1,3,0,0,1,7,1,5,1740,5,299,110,758.3333,156,25,1399,700,330,1759.667
3,4244234,29,12,2,1,0,1,6,75000,2,1,4,1,1,5574,2,34,118,992.3333,106,0,25,351,100,1673.667
1,4244414,65,12,1,1,10,2,2,40719,0,1,3,9,1,8802,5,0,169,767,39,0,539,241,67,666
6,4244584,30,12,2,2,0,5,5,26745,4,2,5,9,4,4290,2,126,250,910,0,0,275.3333,20,130,1346.667
1,4244634,61,12,2,1,0,2,1,23712,1,2,,9,1,2468,7,68,190,78,0,0,4846,95,44,756.667
5,4244814,40,12,1,6,7,4,4,77000,0,1,5,1,3,3240,2,0,100,463.6667,66,0,210,0,30,970
3,4244844,63,12,1,1,0,4,1,1735,1,1,4,8,2,3208,2,92,10,424.6667,0,55,128,285,100,813
4,4244954,36,13,2,1,3,1,5,94000,0,1,,1,2,4263,3,200,150,866.6667,0,110,440,400,220,960
1,4245074,70,15,2,1,0,3,1,27307,1,1,1,1,1,4760,5,331,32,368.3333,190,119,35,201,115,3186.333
4,4245144,61,13,2,1,1,1,2,140200,0,1,1,1,3,2056,2,0,90,433.3333,58,124,100,107.3333,103,1358.333
4,4245334,87,11,2,1,0,2,1,16135,1,2,,5,1,2493,3,106,90,195,20,50,20,308,0,735
1,4245534,56,12,1,1,11,1,2,22500,0,1,8,9,4,5133,2,80,70,433.3333,0,0,490,0,0,80.833
1,4246054,49,16,1,1,3,5,1,50000,0,1,2,8,0,1656,2,0,80,866.6667,0,0,0,800,95,4333.333
4,4246154,43,15,2,1,1,3,3,0,0,1,5,1,2,2832,2,0,157,780,55,94,31,622,70,2165
4,4246264,53,15,2,1,1,1,2,123135,0,2,,1,2,5280,7,53,76,455,150,170,78,252,287,1351
5,4246304,70,16,2,1,0,1,2,190572,1,1,7,1,2,6550,2,260,134,918.6667,88,61,151,1611,160,2122.333
5,4246324,64,11,2,1,0,5,2,3728,4,1,2,2,0,3009,2,76,113,281.6667,0,100,0,145,50,1687
3,4267203,53,12,2,1,1,1,2,340200,0,1,2,1,3,7888,6,3711,1707,4489,629,849,1251,2086,105,46169
2,4267423,40,13,2,1,1,3,6,59024,0,1,,1,3,1055,6,522,360,1334,51,0,688,241,150,3155
5,4267503,67,13,1,1,1,1,3,184000,0,1,9,1,6,4781,5,2600,240,6135,120,0,5613,4781,204,11505
